bus,lat,lon,pop_density
0,42.188982314892925,-68.95327130131554,0.0
1,42.57170398383411,-69.66856750934315,0.0
2,43.4865126790883,-69.65579946058561,0.0
3,44.205427389643916,-69.1899451692257,39.319299378325354
4,44.180772989436896,-68.37219646698203,17.08012495336769
5,44.75908954319388,-67.74031420317502,2.2260707375609954
6,44.11321484428617,-67.24517910247783,0.0
7,43.57316246117323,-67.80092136997051,0.0
8,42.735074231553206,-67.71153666424613,0.0
9,46.218882782579165,-68.42661145198046,0.24353760264771215
10,45.61382350138903,-67.83745633985326,1.603664344332343
11,45.74427719724448,-68.46595407049976,2.8323091283242636
12,45.75837640808907,-69.1170354912795,0.004279280647896195
13,45.03445071405897,-69.57981751202556,5.385824299769969
14,45.154292703736424,-70.38203881067783,2.0180143127814745
15,44.95786801966983,-71.18742512726321,0.6859177743102349
16,44.0711336771942,-71.0720215669229,24.165211791956587
17,43.804766822042886,-70.36213821573396,146.28759509788523
18,44.78580336935381,-71.99478078102058,8.818698576091906
19,44.507459741353266,-72.74834171730924,23.172512521037195
20,45.82154059364308,-71.14571998094002,0.0
21,46.646675474478975,-71.41270044009039,0.0
22,46.350346647871405,-71.9958264235256,0.0
23,45.578393772350545,-71.61962455810678,0.0
24,42.145405809240195,-70.37935396568096,74.38622185964856
25,42.36999519323453,-71.16344814075525,2241.823684462841
26,43.23604252564196,-71.34256405169828,67.26772672231661
27,42.10204519598106,-71.83608346300369,233.3433012877276
28,41.62300875882008,-71.55615225847325,239.93658786031463
29,41.7874268389295,-69.48958309941244,0.0
30,44.99702607486029,-67.0,23.197713920225
31,46.95998544522584,-68.1389578543474,8.987041952254744
32,45.24690731893657,-72.59628012993919,0.0
33,44.544757679513275,-73.5,118.31799445886737
34,47.462083344860034,-71.4949306622063,0.0
35,46.87369531297862,-72.57056863182382,0.0
36,41.28514532018337,-70.32427618839,37.15257341419268
37,41.0,-72.02163602197629,0.0
38,42.106922636983995,-68.20415220143488,0.0
